Name, Didn't do, Added, Processed, Pushed
Adafruit_CircuitPython_PCF8523,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_PCF8523
Adafruit_CircuitPython_PCT2075,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_PCT2075
Adafruit_CircuitPython_Pixie,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Pixie
Adafruit_CircuitPython_PN532,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_PN532
Adafruit_CircuitPython_PyBadger,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_PyBadger
Adafruit_CircuitPython_PYOA,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_PYOA
Adafruit_CircuitPython_PyPortal,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_PyPortal
Adafruit_CircuitPython_RA8875,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_RA8875
Adafruit_CircuitPython_Register,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Register
Adafruit_CircuitPython_Requests,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Requests
Adafruit_CircuitPython_RFM69,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_RFM69
Adafruit_CircuitPython_RFM9x,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_RFM9x
Adafruit_CircuitPython_RGB_Display,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_RGB_Display
Adafruit_CircuitPython_RGBLED,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_RGBLED
Adafruit_CircuitPython_RPLIDAR,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_RPLIDAR
Adafruit_CircuitPython_RSA,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_RSA
Adafruit_CircuitPython_RTTTL,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_RTTTL
Adafruit_CircuitPython_SD,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_SD
Adafruit_CircuitPython_Seesaw,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_Seesaw
Adafruit_CircuitPython_ServoKit,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_ServoKit
Adafruit_CircuitPython_SGP30,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_SGP30
Adafruit_CircuitPython_SharpMemoryDisplay,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_SharpMemoryDisplay
Adafruit_CircuitPython_SHT31D,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_SHT31D
Adafruit_CircuitPython_SI4713,0,1,0,0,https://github.com/adafruit/Adafruit_CircuitPython_SI4713
